DiffAcct
0173010003
0173070006
0173100005
0173100009
0175020003
0175060038
0175070029
0175160013
0176060019
0176081016
0176082011
0176083012
0176083028
0176083029
0176083039
0176090012
0176090034
0176110022
0177020001
0177020041
0383150021
0383160039
0384020023
0384020060
0384020061
0384020065
0384070025
0384070035
0384100035
0384100093
0384110011
0384110031
0384140022
0384140075
0384150035
0385040018
0385040019
0385040021
0385050012
0385060003
0386050080
0386050082
0386110010
0387120004
0390003030
0390050015
0390050017
0390050018
0390050020
0390050022
0390050023
0390160001
0390160002
0390160003
0390160004
0390160005
0390160006
0390160007
0390160008
0390160009
0390160010
0390160025
0390160027
0390160028
0390160029
0390160030
0390160031
0390160032
0390160033
0390160034
0390160035
0390160036
0390160037
0390160038
0390160040
0390160041
0390160042
0390160043
0391040001
0391040002
0391040003
0391040004
0391040005
0391040006
0391040008
0391040011
0391040013
0391040015
0391040041
0391040044
0391040045
0391040046
0391040059
0391040067
0391040068
0391040069
0391040070
0391040071
0391090165
0391090167
0391090169
0391090170
0391090172
0391090173
0391090174
0391090175
0391090176
0391090188
0391090240
0391090245
0391090246
0391130116
0391130118
0391130119
0391130120
0391130121
0391130123
0391130124
0391130125
0391130165
0392010107
0392010109
0392010114
0392010120
0392010122
0392010123
0392010126
0392010127
0392010160
0392010161
0392010163
0392040127
0392040128
0392040131
0392040132
0392040133
0392040135
0392040136
0392040137
0392040138
0392040146
0392040148
0392040152
0392040156
0392080464
0392160027
0392160032
0392160033
0392160034
0392160089
0392160090
0392160091
0392160092
0392160093
0392160094
0392160095
0392160097
0393001002
0393001003
0393001008
0393001012
0393001015
0394040037
0394040038
0394040039
0394040040
0394040041
0394040042
0394040043
0394040046
0394040051
0394040061
0394040063
0394040064
0394040065
0394040066
0394040067
0394040068
0394040069
0394040071
0394040072
0394040080
0394040081
0394040083
0394040085
0394050068
0394050069
0394050070
0394050071
0394050073
0394050199
0394050200
0394050201
0394050207
0394050208
0394050209
0394050210
0394050211
0394050213
0394050258
0394050260
0394050262
0394050263
0394060078
0394060084
0394060087
0394060088
0394060090
0394060096
0394060101
0394060113
0394120060
0394120216
0394120217
0394120218
0394120219
0394120220
0394120221
0394130001
0394130004
0394130006
0394130007
0394130239
0397141001
0397141007
0398044035
0398044042
0398044059
0398044060
0398044065
0399100001
0400040002
0400162003
0400162004
0401020019
0401130006
0401141033
0401141085
0402151014
0403010022
0403031005
0403031023
0403031033
0403031053
0403031061
0403031068
0403031071
0404090026
0404090027
0404160014
0404160015
0404160016
0405010002
0405020009
0405040011
0405040012
0405060024
0405070111
0405070112
0405090030
0405090036
0405110003
0405120019
0405140009
0406010002
0406010004
0406010009
0406011005
0406013013
0406014016
0406021074
0406021080
0406021096
0406082003
0406082004
0406082006
0406082007
0406082009
0406082020
0406082024
0406082029
0406082045
0406082047
0406082049
0406082055
0406082070
0406082076
0406082078
0406082088
0406082098
0406082099
0406082102
0406082116
0406082133
0406082142
0406082164
0406130006
0406130007
0406130019
0406140007
0406161002
0406161009
0406161034
0406161040
0406161041
0406162002
0406162008
0406162031
0406162039
0406162041
0406162044
0407061017
0407061019
0407090001
0407131009
0407131010
0407141008
0407142002
0407142004
0407142006
0407142025
0407142030
0407142031
0407142104
0407142108
0407142111
0407142115
0407142120
0407142130
0407142212
0407142217
0407142225
0407142234
0408010092
0408010095
0408030016
0408030068
0408030090
0408030118
0408030126
0408030134
0408030135
0408040080
0408060033
0408090016
0408100003
0408110001
0408110012
0408110038
0408120016
0408120034
0408120052
0408120060
0408121001
0408130019
0408140001
0408160037
0409080039
0411021013
0411022022
0411071107
0411071114
0411071122
0411150089
0412010002
0428030007
0428111004
0428130002
0429021210
0429021496
0429031009
0429031011
0429031014
0429031016
0429031018
0429031026
0429060016
0429100007
0429100008
0429100021
0429110018
0429110020
0429141002
0430010045
0430010060
0430010063
0430010064
0430010073
0430060055
0430100011
0430120007
0433031204
0433031205
0433031206
0433031207
0433031208
